scope,effective_date,momentum_lookback,risk_window,rebalance_period,switch_buffer,train_start,train_end,parameter_changed
历史样本外回测,2023-01-01,120,60,W,0.1,2020-01-01,2022-12-31,True
历史样本外回测,2024-01-01,120,120,W,0.05,2021-01-01,2023-12-31,True
历史样本外回测,2025-01-01,240,60,M,0.05,2022-01-01,2024-12-31,True
历史样本外回测,2026-01-01,240,120,M,0.1,2023-01-01,2025-12-31,True
冻结后前瞻模拟盘,2026-07-30 00:00:00,240,60,M,0.0,2024-07-30 00:00:00,2026-07-29 00:00:00,True
冻结后前瞻模拟盘,2026-07-31 00:00:00,240,60,M,0.0,2024-07-31 00:00:00,2026-07-30 00:00:00,False
冻结后前瞻模拟盘,2026-08-03 00:00:00,240,60,M,0.0,2024-08-03 00:00:00,2026-07-31 00:00:00,False
冻结后前瞻模拟盘,2026-08-04 00:00:00,240,60,M,0.0,2024-08-04 00:00:00,2026-08-03 00:00:00,False
冻结后前瞻模拟盘,2026-08-05 00:00:00,240,60,M,0.0,2024-08-05 00:00:00,2026-08-04 00:00:00,False
冻结后前瞻模拟盘,2026-08-06 00:00:00,240,60,M,0.0,2024-08-06 00:00:00,2026-08-05 00:00:00,False
冻结后前瞻模拟盘,2026-08-07 00:00:00,240,60,M,0.0,2024-08-07 00:00:00,2026-08-06 00:00:00,False
冻结后前瞻模拟盘,2026-08-10 00:00:00,240,60,M,0.0,2024-08-10 00:00:00,2026-08-07 00:00:00,False
冻结后前瞻模拟盘,2026-08-11 00:00:00,240,60,M,0.0,2024-08-11 00:00:00,2026-08-10 00:00:00,False
冻结后前瞻模拟盘,2026-08-12 00:00:00,240,60,M,0.0,2024-08-12 00:00:00,2026-08-11 00:00:00,False
